Month,Questions
"2014-10-01 00:00:00","172636"
"2014-11-01 00:00:00","166397"
"2014-12-01 00:00:00","155117"
"2015-01-01 00:00:00","165732"
"2015-02-01 00:00:00","168257"
"2015-03-01 00:00:00","189477"
"2015-04-01 00:00:00","189574"
"2015-05-01 00:00:00","185537"
"2015-06-01 00:00:00","187364"
"2015-07-01 00:00:00","195148"
"2015-08-01 00:00:00","181098"
"2015-09-01 00:00:00","177583"
"2015-10-01 00:00:00","186043"
"2015-11-01 00:00:00","177849"
"2015-12-01 00:00:00","172164"
"2016-01-01 00:00:00","180933"
"2016-02-01 00:00:00","188252"
"2016-03-01 00:00:00","201403"
"2016-04-01 00:00:00","196546"
"2016-05-01 00:00:00","189367"
"2016-06-01 00:00:00","184286"
"2016-07-01 00:00:00","176624"
"2016-08-01 00:00:00","181716"
"2016-09-01 00:00:00","171564"
"2016-10-01 00:00:00","175276"
"2016-11-01 00:00:00","175218"
"2016-12-01 00:00:00","162129"
"2017-01-01 00:00:00","176868"
"2017-02-01 00:00:00","175174"
"2017-03-01 00:00:00","201410"
"2017-04-01 00:00:00","178407"
"2017-05-01 00:00:00","186400"
"2017-06-01 00:00:00","178077"
"2017-07-01 00:00:00","179749"
"2017-08-01 00:00:00","177662"
"2017-09-01 00:00:00","162264"
"2017-10-01 00:00:00","169644"
"2017-11-01 00:00:00","168706"
"2017-12-01 00:00:00","145235"
"2018-01-01 00:00:00","160444"
"2018-02-01 00:00:00","153060"
"2018-03-01 00:00:00","172876"
"2018-04-01 00:00:00","162384"
"2018-05-01 00:00:00","167436"
"2018-06-01 00:00:00","154534"
"2018-07-01 00:00:00","160003"
"2018-08-01 00:00:00","158398"
"2018-09-01 00:00:00","144467"
"2018-10-01 00:00:00","160388"
"2018-11-01 00:00:00","149700"
"2018-12-01 00:00:00","132170"
"2019-01-01 00:00:00","149532"
"2019-02-01 00:00:00","146318"
"2019-03-01 00:00:00","161054"
"2019-04-01 00:00:00","153470"
"2019-05-01 00:00:00","151296"
"2019-06-01 00:00:00","135844"
"2019-07-01 00:00:00","150975"
"2019-08-01 00:00:00","137078"
"2019-09-01 00:00:00","136856"
"2019-10-01 00:00:00","152602"
"2019-11-01 00:00:00","148211"
"2019-12-01 00:00:00","132502"
"2020-01-01 00:00:00","146598"
"2020-02-01 00:00:00","145020"
"2020-03-01 00:00:00","155904"
"2020-04-01 00:00:00","182836"
"2020-05-01 00:00:00","186395"
"2020-06-01 00:00:00","171842"
"2020-07-01 00:00:00","165993"
"2020-08-01 00:00:00","148264"
"2020-09-01 00:00:00","141735"
"2020-10-01 00:00:00","141757"
"2020-11-01 00:00:00","134902"
"2020-12-01 00:00:00","133870"
"2021-01-01 00:00:00","139828"
"2021-02-01 00:00:00","131631"
"2021-03-01 00:00:00","148708"
"2021-04-01 00:00:00","135827"
"2021-05-01 00:00:00","133749"
"2021-06-01 00:00:00","128931"
"2021-07-01 00:00:00","123936"
"2021-08-01 00:00:00","122044"
"2021-09-01 00:00:00","119738"
"2021-10-01 00:00:00","118815"
"2021-11-01 00:00:00","119022"
"2021-12-01 00:00:00","112082"
"2022-01-01 00:00:00","119218"
"2022-02-01 00:00:00","113749"
"2022-03-01 00:00:00","123281"
"2022-04-01 00:00:00","114039"
"2022-05-01 00:00:00","115944"
"2022-06-01 00:00:00","111265"
"2022-07-01 00:00:00","110657"
"2022-08-01 00:00:00","112638"
"2022-09-01 00:00:00","103540"
"2022-10-01 00:00:00","105855"
"2022-11-01 00:00:00","109189"
"2022-12-01 00:00:00","96198"
"2023-01-01 00:00:00","96646"
"2023-02-01 00:00:00","85587"
"2023-03-01 00:00:00","87148"
"2023-04-01 00:00:00","68389"
"2023-05-01 00:00:00","66347"
"2023-06-01 00:00:00","63533"
"2023-07-01 00:00:00","62604"
"2023-08-01 00:00:00","59954"
"2023-09-01 00:00:00","52691"
"2023-10-01 00:00:00","52342"
"2023-11-01 00:00:00","50287"
"2023-12-01 00:00:00","42295"
"2024-01-01 00:00:00","47578"
"2024-02-01 00:00:00","45940"
"2024-03-01 00:00:00","44724"
"2024-04-01 00:00:00","42374"
"2024-05-01 00:00:00","40028"
"2024-06-01 00:00:00","31941"
"2024-07-01 00:00:00","31445"
"2024-08-01 00:00:00","27790"
"2024-09-01 00:00:00","24739"
"2024-10-01 00:00:00","23173"
"2024-11-01 00:00:00","20815"
"2024-12-01 00:00:00","17927"
"2025-01-01 00:00:00","18191"
"2025-02-01 00:00:00","15510"
"2025-03-01 00:00:00","15083"
"2025-04-01 00:00:00","11395"
"2025-05-01 00:00:00","9651"
"2025-06-01 00:00:00","7757"
"2025-07-01 00:00:00","6623"
"2025-08-01 00:00:00","5023"
"2025-09-01 00:00:00","5869"
"2025-10-01 00:00:00","5335"
"2025-11-01 00:00:00","5374"
"2025-12-01 00:00:00","4200"
"2026-01-01 00:00:00","3700"
"2026-02-01 00:00:00","3146"
"2026-03-01 00:00:00","3205"
"2026-04-01 00:00:00","2588"
"2026-05-01 00:00:00","2198"
"2026-06-01 00:00:00","1876"
"2026-07-01 00:00:00","1223"
"2026-08-01 00:00:00","1270"
"2026-09-01 00:00:00","306"
